       66.181167      -21.184694     -18.4940      8.02601
       66.185000      -21.181806     -18.5833      2.21614
       66.190458      -21.187861     -18.0115      2.40429
       66.182375      -21.191861     -16.7071      2.36407
       66.186208      -21.197250     -18.2617      2.33971
       66.182958      -21.174139     -16.6713      2.20565
       66.185167      -21.175417     -19.6554      2.20926
       66.165875      -21.183306     -20.2451      2.22213
       66.177917      -21.202500     -17.7077      2.22475
       66.178375      -21.195861     -17.4397      2.21639
       66.168417      -21.170361     -15.0989      2.35444
       66.186542      -21.198778     -18.4761      2.35398
       66.185708      -21.190639     -16.4569      2.48007
       66.187000      -21.162417     -19.3695      2.35377
       66.189667      -21.189111     -21.2994      2.44317
       66.188917      -21.186083     -15.0452      3.04533
       66.196042      -21.177056     -17.1717      3.30397
       66.188375      -21.188167     -17.8665      2.29035
       66.186875      -21.187389     -18.1703      2.30707
       66.182375      -21.188250     -23.7097      2.68107
       66.190250      -21.180111     -18.5455      2.68323
       66.175042      -21.187472     -17.9380      3.05165
       66.173333      -21.179500     -17.4019      2.21694
       66.166500      -21.195083     -19.0458      2.50202
       66.162833      -21.183583     -18.2417      2.54611
       66.195750      -21.189500     -16.9016      5.08154
       66.192333      -21.184500     -23.8347      3.89767
       66.140583      -21.190806     -12.9346      3.59639
       66.180458      -21.185111     -26.5330      5.82138
       66.184583      -21.181028     -17.8308      3.41205
