       209.46321       12.860278     -116.408      2.33246
       209.48408       12.868806     -133.330      2.51456
       209.50588       12.851444     -131.132      2.43704
       209.44425       12.892389     -127.576      2.93525
       209.57288       12.861889     -135.725      3.00744
       209.53942       12.857250     -137.011      4.78289
       209.53571       12.854417     -127.022      4.02609
       209.49800       12.864778     -131.275      3.92174
       209.53242       12.822694     -130.685      3.43331
       209.51158       12.771111     -114.418      7.86809
       209.51350       12.883889     -127.052      5.43280
       209.49887       12.907333     -129.875      2.25350
       209.54104       12.798583     -130.590      3.25088
       209.51054       12.860083     -117.530      7.18227
       209.43238       12.790583     -125.464      2.60124
       209.48962       12.846000     -138.133      5.79898
       209.50696       12.820917     -124.517      2.99023
       209.47425       12.811028     -131.647      7.22546
       209.63354       12.742306     -138.976      2.58034
       209.55479       12.837722     -123.014      3.19736
       209.53542       12.832806     -127.838      3.02820
       209.56917       12.757972     -127.105      2.76501
